citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;taste
0.39;5.2;0.04;45.0;163.0;0.9925;3.3;0.47;12.4;6;1298
0.28;9.4;0.056;29.0;183.0;0.99594;3.17;0.43;9.4;5;2436
0.29;1.4;0.039;13.0;67.0;0.9915;3.05;0.49;10.9;6;898
0.19;6.6;0.045;98.0;175.0;0.99364;3.16;0.34;10.1;6;3862
0.51;7.6;0.049;35.0;200.0;0.99548;3.16;0.54;9.4;4;3967
0.2;6.1;0.063;47.0;164.0;0.9946;3.17;0.42;10.0;5;82
0.3;2.0;0.039;43.0;188.0;0.9911;3.3;0.41;12.0;6;2374
0.25;14.3;0.044;27.0;149.0;0.998;2.91;0.46;9.2;6;3609
0.68;10.9;0.045;38.0;133.0;0.9978;3.0;0.36;8.7;5;613
0.37;1.6;0.035;34.0;126.0;0.99058;3.26;0.47;12.3;6;3649
0.3;2.0;0.031;13.0;128.0;0.9917;3.19;0.49;11.4;5;2208
0.33;2.5;0.053;12.0;72.0;0.99404;2.89;0.48;9.5;5;2462
0.28;8.6;0.045;37.0;221.0;0.9954;3.25;0.54;10.4;6;423
0.26;5.1;0.051;16.0;119.0;0.99416;3.15;0.41;9.2;5;4256
0.33;10.3;0.039;73.0;212.0;0.9969;2.93;0.49;9.5;6;1904
0.25;12.2;0.04;29.0;136.0;0.99552;3.05;0.65;10.4;6;4450
0.28;3.7;0.045;57.0;151.0;0.9913;3.22;0.27;11.2;6;3235
0.28;8.5;0.035;41.0;140.0;0.9952;3.04;0.37;10.1;7;1869
0.49;3.5;0.044;29.0;117.0;0.9938;3.14;0.51;10.1;6;1565
0.29;2.5;0.059;37.0;115.0;0.99328;3.09;0.37;9.8;5;3238
0.27;10.1;0.056;38.0;187.0;0.99486;3.31;0.56;10.6;5;4225
0.41;12.9;0.044;79.5;182.0;0.99742;3.24;0.78;10.2;6;3697
0.35;6.0;0.034;12.0;126.0;0.9924;3.16;0.39;12.0;7;839
0.54;16.7;0.045;54.0;200.0;0.999;3.08;0.49;9.5;6;500
0.4;4.3;0.032;9.0;95.0;0.992;3.09;0.39;11.1;6;611
0.67;10.5;0.045;49.0;155.0;0.9975;3.16;0.44;8.7;5;141
0.65;10.4;0.05;76.0;192.0;0.9976;3.16;0.42;8.7;5;549
0.24;1.6;0.049;16.0;137.0;0.993;3.32;0.5;10.4;6;557
0.32;2.0;0.044;34.0;90.0;0.99185;3.37;0.68;11.0;7;887
0.41;1.7;0.05;10.0;136.0;0.993;3.16;0.71;11.4;6;1377
0.49;10.4;0.048;52.0;195.0;0.9987;3.31;0.44;10.2;6;1626
0.27;10.8;0.05;58.0;116.0;0.99592;3.1;0.5;9.8;6;4080
0.34;2.0;0.042;63.0;123.0;0.99052;3.44;0.42;11.4;6;2819
0.24;17.5;0.044;60.0;167.0;0.9989;3.31;0.44;9.4;5;218
0.25;7.8;0.031;24.0;116.0;0.99241;3.39;0.4;11.3;6;4444
0.25;3.8;0.044;30.0;114.0;0.992;3.11;0.4;11.0;6;2181
0.19;5.4;0.042;67.0;181.0;0.99435;3.31;0.35;10.2;6;1760
0.46;3.2;0.058;39.0;133.0;0.996;3.14;0.58;9.5;5;1138
0.31;0.9;0.048;23.0;170.0;0.993;3.22;0.77;9.5;6;209
0.38;15.3;0.045;54.0;120.0;0.9975;3.18;0.42;9.8;6;3065
0.36;7.4;0.037;36.0;156.0;0.99592;3.19;0.54;10.6;6;2457
0.3;2.1;0.033;50.0;158.0;0.9909;3.33;0.43;12.1;7;1787
0.26;17.3;0.051;17.0;149.0;0.9984;3.0;0.43;9.4;6;4454
0.49;1.4;0.142;52.0;148.0;0.9937;3.08;0.49;9.0;6;2476
0.51;13.6;0.05;40.0;168.0;0.9976;3.07;0.52;9.6;7;550
0.49;7.1;0.042;22.0;124.0;0.9944;3.14;0.41;10.8;6;1424
0.28;6.3;0.034;45.0;152.0;0.9921;3.29;0.46;11.6;7;2991
0.26;10.3;0.041;51.0;166.0;0.99382;3.08;0.35;11.6;6;3731
0.45;10.4;0.06;22.0;184.0;0.99711;3.31;0.56;9.8;6;3475
0.25;3.2;0.048;10.0;57.0;0.996;3.36;0.52;9.5;4;948
0.49;1.0;0.044;29.0;118.0;0.9928;3.24;0.36;10.9;4;1652
0.37;7.45;0.043;59.0;188.0;0.99579;3.2;0.5;9.4;6;2714
0.27;5.6;0.043;43.0;164.0;0.9953;3.27;0.76;9.5;5;2072
0.36;13.2;0.067;53.0;178.0;0.9976;3.01;0.48;9.0;6;532
0.21;5.0;0.042;17.0;133.0;0.99373;3.02;0.53;9.4;5;4379
0.33;4.8;0.043;45.0;114.0;0.992;3.18;0.44;11.2;6;3134
0.24;11.2;0.031;41.0;167.0;0.9948;3.12;0.43;11.3;7;1829
0.24;0.9;0.038;15.0;72.0;0.99066;3.23;0.39;11.0;5;2815
0.27;13.9;0.057;45.0;155.0;0.99807;2.94;0.41;8.8;8;4332
0.32;2.2;0.042;41.0;142.0;0.98952;3.31;0.44;12.7;7;3947
0.36;4.5;0.042;26.0;102.0;0.99427;3.09;0.47;9.5;5;3053
0.24;4.7;0.034;27.0;77.0;0.9906;3.28;0.36;12.7;5;1602
0.28;11.25;0.032;31.0;87.0;0.9922;3.02;0.38;12.4;6;3353
0.14;5.8;0.046;49.0;197.0;0.9937;3.3;0.71;10.3;5;639
0.36;1.6;0.042;13.0;61.0;0.99143;3.22;0.54;10.8;6;4736
0.26;9.25;0.034;73.0;142.0;0.9945;3.05;0.37;11.4;6;1782
0.35;17.5;0.039;38.0;153.0;0.9994;3.24;0.42;9.0;6;967
0.36;20.7;0.045;45.0;170.0;1.001;3.0;0.45;8.8;6;0
0.27;7.1;0.049;8.0;178.0;0.99502;3.16;0.38;9.4;4;2531
0.24;8.5;0.055;45.0;151.0;0.99626;3.2;0.52;9.2;5;4022
0.09;10.9;0.051;37.0;131.0;0.99566;2.93;0.62;9.5;6;4806
0.3;8.4;0.03;35.0;115.0;0.99192;2.93;0.42;12.3;6;3393
0.21;8.2;0.05;51.0;182.0;0.99542;3.23;0.48;9.5;5;4384
0.27;13.9;0.057;45.0;155.0;0.99807;2.94;0.41;8.8;8;4340
0.42;14.0;0.066;48.0;198.0;0.9979;2.89;0.42;8.9;6;155
0.27;1.4;0.031;12.0;77.0;0.9905;3.25;0.36;10.9;7;247
0.28;8.2;0.038;72.0;202.0;0.99566;3.12;0.56;10.0;6;2402
0.29;1.3;0.036;25.0;68.0;0.98865;3.24;0.35;12.6;6;4196
0.33;4.0;0.034;17.0;127.0;0.9934;3.19;0.39;10.6;7;1089
0.22;10.0;0.052;36.0;131.0;0.99696;3.08;0.46;9.6;5;2561
0.34;2.0;0.044;61.0;171.0;0.98947;3.25;0.53;13.3;7;3516
0.27;4.9;0.034;18.0;122.0;0.9916;3.36;0.71;12.5;6;3428
0.3;13.7;0.056;33.0;168.0;0.99825;2.9;0.44;8.7;7;4159
0.39;14.2;0.058;49.0;192.0;0.9979;2.98;0.48;9.0;7;288
0.52;5.9;0.017;21.0;84.0;0.9929;3.14;0.4;11.9;7;930
0.36;6.4;0.055;42.0;123.0;0.99318;3.11;0.5;11.0;8;3188
0.34;1.2;0.048;4.0;119.0;0.99084;3.18;0.34;12.1;6;2763
0.42;5.0;0.016;31.0;113.0;0.99007;3.15;0.31;12.4;7;2980
0.26;8.2;0.042;21.0;133.0;0.99612;3.43;0.64;9.8;6;2447
0.3;1.1;0.031;37.0;94.0;0.98986;3.01;0.56;11.7;6;2957
0.29;8.9;0.05;24.0;90.0;0.99556;3.29;0.46;9.8;6;2377
0.26;13.1;0.051;44.0;148.0;0.9972;3.29;0.38;9.3;5;272
0.36;1.2;0.052;38.0;127.0;0.9933;3.04;0.54;9.2;5;4888
0.2;7.7;0.046;51.0;174.0;0.99582;3.16;0.52;9.5;5;2252
0.28;10.2;0.032;43.0;138.0;0.9951;3.1;0.47;10.6;6;3396
0.34;1.2;0.044;14.0;67.0;0.9919;3.05;0.47;10.6;4;278
0.33;1.4;0.028;14.0;99.0;0.9928;3.23;0.55;10.1;6;952
0.4;2.2;0.042;54.0;201.0;0.99177;3.03;0.5;11.4;5;3254
0.3;1.2;0.03;27.0;80.0;0.99192;3.05;0.68;10.5;5;4237
0.28;12.0;0.056;68.0;143.0;0.9983;2.99;0.3;9.2;6;3459
0.19;1.6;0.039;27.0;88.0;0.99265;3.54;0.41;10.0;7;942
0.28;2.9;0.03;22.0;111.0;0.9902;3.38;0.34;11.3;7;3726
0.28;1.3;0.027;26.0;101.0;0.98948;3.35;0.38;12.5;7;4571
0.3;4.2;0.04;41.0;213.0;0.9927;3.28;0.49;11.8;6;1698
0.18;2.0;0.036;23.0;129.0;0.98949;3.36;0.77;13.4;7;4617
0.34;9.3;0.052;19.0;86.0;0.99574;3.04;0.56;10.0;5;2851
0.32;7.9;0.031;23.0;118.0;0.99176;3.05;0.46;13.3;7;2420
0.23;14.2;0.037;24.0;99.0;0.99528;3.08;0.38;10.6;6;4100
0.21;1.9;0.05;29.0;122.0;0.9928;3.42;0.52;10.5;6;985
0.38;1.15;0.023;30.0;105.0;0.99047;3.11;0.38;11.4;5;4030
0.57;10.4;0.053;18.0;134.0;0.99732;3.12;0.68;9.0;5;2509
0.24;16.05;0.045;31.0;147.0;0.99822;3.08;0.52;9.2;5;2459
0.33;0.7;0.027;15.0;66.0;0.9899;3.11;0.31;11.8;6;4682
0.33;6.7;0.037;32.0;155.0;0.9951;3.39;0.62;10.7;7;981
0.27;5.8;0.036;23.0;109.0;0.99399;3.34;0.54;11.0;6;2407
0.63;11.1;0.039;58.0;179.0;0.9979;3.08;0.44;8.8;4;2346
0.34;8.9;0.048;32.0;111.0;0.99455;3.25;0.54;11.0;7;3996
0.33;3.5;0.036;23.0;92.0;0.99136;3.18;0.38;11.2;6;2840
0.32;1.2;0.037;14.0;119.0;0.99137;3.19;0.5;10.2;6;3405
0.18;10.6;0.045;57.0;159.0;0.99666;3.09;0.54;9.2;5;3712
0.74;4.45;0.044;33.0;130.0;0.9924;3.25;0.42;12.2;6;1457
0.33;1.6;0.039;27.0;98.0;0.9898;3.09;0.46;12.3;7;1395
0.35;1.2;0.038;22.0;167.0;0.9912;3.1;0.48;10.6;6;264
0.3;3.3;0.029;15.0;80.0;0.99061;3.33;0.63;12.6;7;2313
0.58;15.0;0.044;42.0;115.0;0.9978;3.15;0.51;9.0;5;929
0.3;2.9;0.036;25.0;79.0;0.99037;3.29;0.6;12.4;7;2954
0.31;2.1;0.046;28.0;208.0;0.99434;3.23;0.64;9.8;5;2598
0.27;2.1;0.03;26.0;139.0;0.99;3.16;0.61;12.6;7;246
0.34;2.0;0.04;38.0;111.0;0.99;3.24;0.45;12.9;6;3466
0.28;1.2;0.038;12.0;53.0;0.9926;2.8;0.46;10.6;5;1758
0.25;1.2;0.052;34.0;181.0;0.99352;3.3;0.42;9.4;7;4767
0.34;1.8;0.045;96.0;170.0;0.99035;3.38;0.9;11.8;8;2748
0.27;12.9;0.044;69.0;215.0;0.9967;3.17;0.43;10.0;6;923
0.27;1.3;0.037;30.0;86.0;0.98834;3.05;0.59;12.9;7;3433
0.07;7.1;0.044;34.0;145.0;0.9945;3.34;0.57;9.7;6;268
0.5;11.6;0.047;60.0;211.0;0.9966;3.18;0.57;9.3;5;669
0.37;1.2;0.028;28.0;89.0;0.99132;3.14;0.61;11.8;6;2640
0.36;8.1;0.045;54.0;180.0;0.9958;3.08;0.42;9.2;5;1910
0.3;1.1;0.029;24.0;88.0;0.98883;3.18;0.39;11.7;6;2879
0.0;1.3;0.042;24.0;79.0;0.9937;3.31;0.38;9.4;4;1152
0.33;10.7;0.036;27.0;98.0;0.99521;3.34;0.52;10.2;6;4721
0.25;2.35;0.034;23.0;87.0;0.99082;3.05;0.41;11.4;6;3334
0.3;13.7;0.056;33.0;168.0;0.99825;2.9;0.44;8.7;7;4160
0.36;1.3;0.035;40.0;78.0;0.9891;3.23;0.64;12.1;7;4752
0.35;9.2;0.034;42.0;150.0;0.9947;3.21;0.36;11.5;6;2231
0.31;13.9;0.04;57.0;135.0;0.99672;3.21;0.38;10.7;5;2876
0.36;5.7;0.038;26.0;98.0;0.9914;2.93;0.59;12.5;7;1915
0.68;11.0;0.047;37.0;133.0;0.9978;2.99;0.38;8.8;5;612
0.34;1.8;0.041;42.0;148.0;0.99335;3.35;0.66;11.1;6;2323
0.3;9.9;0.041;63.0;192.0;0.99642;3.12;0.49;10.2;6;3408
0.41;8.6;0.053;15.0;89.0;0.9976;3.29;0.64;9.9;6;1898
0.49;1.6;0.058;39.0;166.0;0.9965;3.65;0.52;9.4;4;1649
0.24;9.6;0.119;56.0;178.0;0.99578;3.15;0.44;10.2;6;2649
0.39;1.8;0.032;23.0;118.0;0.9912;3.32;0.5;11.8;6;258
0.27;1.2;0.026;17.0;73.0;0.9921;3.08;0.39;10.8;5;847
0.34;1.5;0.035;45.0;123.0;0.98949;3.24;0.36;12.6;7;4169
0.3;5.2;0.037;29.0;131.0;0.9943;3.38;0.44;11.0;6;1233
0.29;5.85;0.042;24.0;99.0;0.992;3.23;0.32;12.0;7;1127
0.35;9.2;0.044;53.0;186.0;0.997;3.09;0.56;9.5;7;1967
0.24;12.1;0.044;53.0;165.0;0.9969;3.25;0.39;9.5;5;558
0.31;2.4;0.014;15.0;143.0;0.99094;3.03;0.65;12.0;4;3770
0.3;6.6;0.346;79.0;200.0;0.9954;3.29;0.58;9.6;5;484
0.42;1.5;0.044;6.0;114.0;0.9914;3.04;0.74;12.8;6;1320
0.34;3.6;0.04;29.0;121.0;0.99111;3.28;0.48;12.1;7;3382
0.36;20.7;0.045;45.0;170.0;1.001;3.0;0.45;8.8;6;7
0.37;6.2;0.031;42.0;133.0;0.99076;3.25;0.41;12.5;6;3166
0.48;1.1;0.026;23.0;58.0;0.99184;2.9;0.5;10.5;6;3080
0.49;13.0;0.033;37.0;158.0;0.9955;3.14;0.35;11.3;6;1450
0.25;2.5;0.028;24.0;84.0;0.9909;3.14;0.36;11.7;6;3844
0.29;4.1;0.03;31.0;100.0;0.9911;3.0;0.32;12.8;7;1814
0.3;16.7;0.039;49.0;172.0;0.99985;3.4;0.45;9.4;5;773
0.41;1.7;0.048;60.0;173.0;0.9932;3.24;0.66;11.2;7;1011
0.27;1.6;0.062;17.0;140.0;0.99138;3.23;0.35;11.1;6;4830
0.24;1.3;0.06;42.5;204.0;0.99512;3.59;0.51;9.2;5;2364
0.3;14.2;0.056;53.0;212.5;0.999;3.14;0.46;8.9;8;1991
0.32;9.0;0.032;29.0;113.0;0.99188;3.13;0.65;12.9;7;4697
0.4;1.5;0.067;17.0;100.0;0.9957;3.27;0.57;10.1;6;1783
0.33;1.2;0.035;35.0;158.0;0.99082;3.02;0.58;11.3;6;2997
0.27;2.6;0.054;30.0;156.0;0.9914;3.53;0.42;12.4;5;446
0.32;2.2;0.037;28.0;141.0;0.993;3.2;0.57;10.0;7;880
0.28;1.7;0.043;24.0;98.0;0.98918;3.14;0.44;12.5;6;4373
0.22;9.5;0.056;44.0;213.0;0.99715;3.08;0.61;9.3;6;781
0.27;1.5;0.056;45.0;135.0;0.9924;3.2;0.43;10.2;6;1749
0.36;9.2;0.061;42.0;214.0;0.9976;3.31;0.56;9.4;5;3269
0.5;12.1;0.045;38.0;127.0;0.9974;3.04;0.53;8.9;6;4783
0.43;6.0;0.022;22.0;125.0;0.9928;3.13;0.55;11.5;6;883
0.32;1.4;0.043;28.0;93.0;0.9897;3.31;0.5;12.3;6;4797
0.35;14.5;0.048;35.0;178.0;0.9982;3.05;0.47;8.9;6;1091
0.45;8.0;0.053;52.0;196.0;0.9959;3.23;0.48;9.1;6;2836
0.48;4.0;0.186;64.0;150.0;0.9945;3.06;0.4;9.3;5;531
0.36;2.0;0.029;21.0;63.0;0.99076;3.13;0.63;12.5;6;3885
0.23;5.0;0.053;29.0;106.0;0.99458;3.13;0.52;9.0;5;3210
0.46;11.7;0.084;55.0;170.0;0.99773;2.91;0.51;9.0;5;3961
0.44;14.5;0.045;68.0;212.0;0.9986;3.48;0.36;10.0;6;1727
0.28;3.2;0.037;29.0;119.0;0.9908;3.25;0.65;12.4;8;610
0.66;10.8;0.051;77.0;194.0;0.9976;3.05;0.46;8.7;5;570
0.36;8.6;0.037;63.0;206.0;0.99553;3.18;0.5;9.6;5;2577
0.47;5.45;0.014;44.0;137.0;0.98984;3.13;0.32;13.0;8;2922
0.47;3.0;0.053;46.0;144.0;0.9931;3.29;0.76;10.0;5;343
0.36;1.4;0.044;22.0;68.0;0.99014;3.15;0.5;11.7;7;2894
0.15;6.1;0.042;27.0;123.0;0.99362;3.06;0.6;9.9;6;3555
0.36;7.1;0.028;31.0;104.0;0.9922;3.35;0.47;12.1;8;434
0.27;1.2;0.04;25.0;106.0;0.9932;3.01;0.55;10.4;5;1903
0.34;1.3;0.025;23.0;111.0;0.98961;3.36;0.37;12.7;6;4541
0.18;11.8;0.051;26.0;126.0;0.9975;3.23;0.48;9.1;5;2303
0.25;1.6;0.03;25.0;126.0;0.9901;3.22;0.34;12.1;7;2069
0.49;1.0;0.04;32.0;148.0;0.9936;3.13;0.41;10.0;6;1537
0.41;1.3;0.044;11.0;126.0;0.99293;3.28;0.45;10.3;5;3729
0.43;10.9;0.045;53.0;154.0;0.99752;3.52;0.77;10.4;6;2264
0.49;9.3;0.038;52.0;163.0;0.9952;3.02;0.33;10.6;6;1517
0.43;3.2;0.035;14.0;101.0;0.9928;3.15;0.36;11.5;5;965
0.35;7.7;0.056;45.0;191.0;0.99527;3.16;0.5;9.5;5;4320
0.02;1.6;0.031;24.0;104.0;0.9896;3.44;0.35;12.2;6;528
0.47;5.1;0.044;19.0;65.0;0.991;3.03;0.41;12.6;4;176
0.49;1.3;0.033;12.0;72.0;0.99072;3.05;0.53;11.3;7;3360
0.78;9.9;0.042;21.0;251.0;0.99435;3.01;0.55;11.0;6;4591
0.24;12.1;0.056;68.0;210.0;0.99718;3.05;0.5;9.5;5;4214
0.54;16.3;0.047;44.0;181.0;0.9987;3.04;0.56;8.8;5;572
0.27;1.6;0.039;36.0;116.0;0.99178;3.38;0.57;11.0;7;4307
0.27;4.7;0.03;56.0;140.0;0.99042;3.16;0.42;12.5;8;3386
0.38;1.7;0.036;17.0;98.0;0.99142;3.29;0.39;10.5;6;2841
0.34;10.9;0.038;25.0;84.0;0.99432;3.11;0.34;10.9;6;3101
0.32;2.8;0.05;17.0;126.0;0.9936;3.18;0.55;9.4;6;4569
0.28;7.1;0.041;29.0;110.0;0.99652;3.2;0.42;9.2;6;2689
0.34;1.0;0.033;27.0;73.0;0.98974;3.24;0.41;12.2;6;2659
0.27;2.4;0.048;30.0;149.0;0.9936;3.1;0.51;9.2;6;383
0.36;1.3;0.036;40.0;117.0;0.9934;3.27;0.95;9.5;7;852
0.42;14.3;0.045;45.0;213.0;0.9991;3.18;0.63;9.2;5;1880
0.21;1.0;0.053;39.0;148.0;0.9927;3.12;0.45;9.4;6;370
0.36;1.8;0.041;38.0;90.0;0.99002;3.27;0.98;11.9;7;4239
0.24;10.8;0.042;47.0;130.0;0.996;3.08;0.4;10.1;6;4240
0.45;4.9;0.028;25.0;191.0;0.9922;3.51;0.49;11.5;7;1105
0.37;4.85;0.041;39.5;216.5;0.99432;3.1;0.5;9.8;6;2481
0.38;2.0;0.052;23.0;156.0;0.9912;3.13;0.52;11.1;5;3811
0.36;7.0;0.042;38.0;161.0;0.9941;3.26;0.37;11.2;8;1336
0.28;1.1;0.044;38.0;100.0;0.9904;3.22;0.69;11.2;6;4506
0.29;6.2;0.046;39.0;151.0;0.99471;3.6;0.44;10.6;6;2238
0.38;1.7;0.037;20.0;84.0;0.99046;3.09;0.53;11.4;6;2875
0.62;7.1;0.033;48.0;185.0;0.99472;3.14;0.62;10.6;6;4751
0.45;5.4;0.03;15.0;118.0;0.9954;3.14;0.34;9.6;5;1171
0.24;8.1;0.121;32.0;162.0;0.99508;3.17;0.38;10.4;8;2522
0.42;1.1;0.042;51.0;132.0;0.99059;3.18;0.74;11.3;7;2600
0.24;1.1;0.051;25.0;105.0;0.9925;3.32;0.47;9.1;5;1422
0.54;1.4;0.157;34.0;132.0;0.99449;3.11;0.53;9.0;6;2259
0.14;1.3;0.036;69.0;168.0;0.99212;3.47;0.46;10.4666666666667;5;4671
0.49;9.1;0.031;46.0;151.0;0.9926;3.16;0.27;12.7;8;1464
0.29;1.3;0.029;10.0;64.0;0.9932;3.35;0.39;10.1;5;874
0.45;10.6;0.094;49.0;169.0;0.99699;3.05;0.54;8.8;5;2242
0.23;1.5;0.033;39.0;121.0;0.9887;2.96;0.35;12.0;5;4257
0.33;1.1;0.049;28.0;150.0;0.9927;3.13;0.42;9.3;5;1251
0.32;6.5;0.027;20.0;167.0;0.99479;3.08;0.43;10.6;5;2266
0.35;6.3;0.036;12.0;126.0;0.9924;3.16;0.39;12.0;7;840
0.32;3.7;0.041;26.0;76.0;0.99173;2.9;0.57;10.5;7;3992
0.22;4.2;0.042;25.0;111.0;0.994;3.35;0.39;9.4;5;581
0.35;2.3;0.053;36.0;114.0;0.9924;3.28;0.5;10.2;4;204
0.49;7.5;0.054;42.0;151.0;0.9948;3.27;0.52;10.1;6;1641
0.3;8.1;0.026;14.0;71.0;0.993;2.94;0.36;11.8;5;2014
0.42;1.6;0.047;9.0;101.0;0.994;3.06;0.65;11.1;4;905
0.42;18.05;0.05;35.0;144.0;0.9999;3.22;0.42;8.8;5;631
0.28;10.2;0.039;29.0;115.0;0.99469;3.11;0.45;10.9;7;2986
0.26;18.35;0.084;33.0;139.0;1.0011;3.17;0.39;8.8;5;1974
0.3;4.8;0.049;14.0;85.0;0.9932;3.28;0.39;10.6;5;162
0.54;7.0;0.046;58.0;176.0;0.99454;3.19;0.7;10.4;5;3063
0.29;10.8;0.028;17.0;118.0;0.99356;3.18;0.37;11.2;6;2765
0.29;3.3;0.037;32.0;140.0;0.9895;3.17;0.36;12.8;7;4409
0.27;1.9;0.051;52.0;195.0;0.9928;3.23;0.5;10.9;6;617
0.47;15.6;0.063;27.0;173.0;0.99872;3.18;0.56;9.0;5;3929
0.49;1.5;0.051;18.0;87.0;0.9928;3.3;0.46;9.6;5;1431
0.42;1.9;0.052;10.0;87.0;0.9922;3.3;0.49;11.8;6;547
0.53;2.1;0.102;19.0;76.0;0.99001;2.93;0.57;12.9;5;3220
0.26;2.7;0.045;19.0;129.0;0.98952;3.24;0.48;13.0;7;4458
0.3;2.0;0.05;23.0;120.0;0.99204;3.24;0.47;10.4;6;4234
0.2;1.4;0.06;15.0;168.0;0.9944;3.06;0.4;9.4;6;2304
0.22;4.0;0.038;17.0;98.0;0.99018;3.25;0.53;13.0;7;3864
0.48;13.5;0.038;44.0;116.0;0.9982;3.04;0.48;9.2;5;4244
0.29;9.9;0.056;30.0;91.0;0.99512;3.19;0.33;9.9;6;3926
0.28;10.2;0.054;78.0;186.0;0.997;3.14;0.46;10.0;6;1861
0.29;1.2;0.047;33.0;127.0;0.991;3.34;0.5;11.0;7;640
0.28;2.7;0.033;38.0;94.0;0.99075;2.99;0.43;11.8;7;2881
0.25;11.9;0.053;25.0;148.0;0.9976;3.1;0.62;9.2;5;637
0.46;7.8;0.047;48.0;186.0;0.9958;3.2;0.54;9.1;5;3395
0.35;6.7;0.039;22.0;64.0;0.99362;2.93;0.49;10.7;5;2880
0.34;6.0;0.05;5.0;129.0;0.9953;3.19;0.4;9.1;5;2096
0.29;3.9;0.059;28.0;199.0;0.9961;3.54;0.59;10.3;5;2395
0.26;1.2;0.041;29.0;182.0;0.99104;3.04;0.35;11.2;5;3716
0.22;16.65;0.044;39.0;110.0;0.99855;3.24;0.48;9.0;6;3551
0.28;2.7;0.048;49.0;165.0;0.9952;3.26;0.72;9.5;6;2742
0.62;10.6;0.036;56.0;153.0;0.9978;3.13;0.44;8.9;6;921
0.24;7.2;0.039;38.0;172.0;0.9958;3.49;0.64;9.7;6;546
0.2;1.8;0.031;49.0;159.0;0.9919;3.41;0.53;11.0;6;3543
0.28;17.55;0.05;33.0;154.0;0.99971;2.94;0.43;9.0;7;4046
0.34;7.1;0.037;33.0;150.0;0.9962;3.1;0.45;9.7;6;2028
0.61;16.2;0.043;14.0;103.0;0.9987;3.06;0.36;9.2;6;1885
0.49;15.55;0.058;50.0;134.0;0.9998;3.42;0.36;9.1;7;1642
0.22;17.45;0.054;42.0;151.0;0.99853;3.12;0.6;9.3;6;4121
0.28;3.0;0.04;19.0;98.0;0.99216;3.25;0.47;11.1;6;4713
0.33;12.3;0.046;31.0;145.0;0.9983;3.36;0.4;9.5;5;2097
0.2;16.0;0.044;41.0;113.0;0.99862;3.22;0.46;8.9;6;4273
0.27;2.6;0.035;32.0;76.0;0.9914;3.21;0.76;11.3333333333333;6;4377
0.16;7.9;0.044;48.0;197.0;0.99512;3.21;0.36;9.4;5;4408
0.35;2.0;0.046;31.0;95.0;0.98822;3.06;0.46;13.6;6;4865
0.36;2.1;0.034;30.0;177.0;0.99085;3.25;0.4;11.9;8;836
0.4;1.4;0.045;31.0;106.0;0.9914;2.88;0.38;10.8;6;601
0.24;9.8;0.041;29.0;109.0;0.9956;3.29;0.47;10.1;6;2184
0.41;1.3;0.044;11.0;126.0;0.99293;3.28;0.45;10.3;5;3732
0.34;3.6;0.04;29.0;121.0;0.99111;3.28;0.48;12.1;7;3380
0.35;6.5;0.029;26.0;87.0;0.99092;3.29;0.44;12.5;7;4224
0.49;7.4;0.039;46.0;108.0;0.9934;3.03;0.33;11.9;7;1582
0.28;4.0;0.04;24.0;81.0;0.9903;3.26;0.64;12.6;7;4184
0.34;2.6;0.051;40.5;210.0;0.99314;3.15;0.61;10.0;5;2445
0.26;1.4;0.027;23.0;109.0;0.99148;3.3;0.36;10.5;6;2630
0.32;1.6;0.04;32.0;166.0;0.992;3.0;0.55;11.3;7;1070
1.0;19.6;0.03;28.0;135.0;0.9973;3.24;0.4;12.0;6;1775
0.16;9.0;0.053;32.0;111.0;0.99474;3.36;0.37;10.4;6;4712
0.36;8.8;0.026;50.0;151.0;0.9927;3.07;0.25;12.7;8;1283
0.34;7.8;0.036;49.0;128.0;0.99397;3.21;0.4;10.7;6;2944
0.41;2.0;0.027;14.0;79.0;0.99063;3.27;0.63;12.4;6;4660
0.23;5.7;0.123;27.0;104.0;0.9954;3.04;0.54;9.4;6;1836
0.22;7.9;0.053;45.0;149.0;0.99545;3.23;0.52;9.3;5;4052
0.26;1.5;0.049;56.0;189.0;0.9946;3.21;0.62;9.5;6;1019
0.39;1.4;0.034;19.0;102.0;0.99121;3.23;0.6;11.3;7;3096
0.72;6.8;0.042;33.0;168.0;0.9958;3.12;0.36;9.2;6;1326
0.51;11.0;0.029;55.0;227.0;0.9965;3.03;0.61;9.5;5;475
0.18;6.3;0.094;27.0;166.0;0.99474;2.9;0.49;9.5;5;4614
0.74;12.8;0.076;48.0;209.0;0.9978;3.12;0.58;9.0;6;1651
0.3;12.4;0.054;108.0;152.0;0.99728;3.1;0.47;9.5;6;3861
0.18;15.0;0.04;21.0;116.0;0.99736;3.14;0.5;9.2;5;4236
0.3;3.1;0.018;15.0;37.0;0.99004;3.02;0.52;11.9;7;2518
0.37;1.2;0.039;26.0;99.0;0.99198;3.01;0.62;10.8;5;4616
0.24;19.95;0.074;32.0;174.0;0.99922;3.19;0.44;9.3;6;2492
0.56;8.2;0.044;37.0;181.0;0.998;2.87;0.68;9.5;6;1373
0.3;5.5;0.038;15.0;129.0;0.9948;3.14;0.49;9.6;6;739
0.32;6.3;0.048;47.0;159.0;0.99282;3.21;0.6;11.0;6;3939
0.49;3.8;0.037;46.0;139.0;0.99116;3.04;0.38;11.6;6;3247
