fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;alcohol;quality;taste
6.2;0.23;0.23;1.2;0.018;18.0;128.0;10.6;5;2868
7.9;0.37;0.3;2.7;0.029;64.0;158.0;12.0;7;1907
6.7;0.26;0.29;7.1;0.036;28.0;100.0;9.3;6;4388
6.8;0.19;0.34;1.9;0.04;41.0;108.0;12.9;6;3465
7.1;0.27;0.31;18.2;0.046;55.0;252.0;8.7;5;403
6.0;0.38;0.26;6.0;0.034;42.0;134.0;12.3;7;579
6.3;0.15;0.3;1.4;0.022;38.0;100.0;11.4;7;3778
5.9;0.4;0.32;6.0;0.034;50.0;127.0;12.5;7;1221
6.0;0.26;0.15;1.3;0.06;51.0;154.0;8.7;5;2761
7.2;0.39;0.63;11.0;0.044;55.0;156.0;8.7;6;90
6.3;0.24;0.74;1.4;0.172;24.0;108.0;9.9;6;1598
6.2;0.2;0.33;5.4;0.028;21.0;75.0;13.5;7;3728
7.4;0.16;0.49;1.2;0.055;18.0;150.0;11.2;6;1447
7.4;0.27;0.26;11.8;0.053;55.0;173.0;9.8;5;4397
7.4;0.41;0.34;4.7;0.042;19.0;127.0;10.4;5;1134
6.7;0.31;0.42;6.4;0.057;25.0;148.0;9.6;5;1704
7.2;0.22;0.35;5.5;0.054;37.0;183.0;10.3;5;4277
6.0;0.4;0.3;1.6;0.047;30.0;117.0;10.1;6;1121
5.3;0.2;0.31;3.6;0.036;22.0;91.0;9.8;6;2726
6.2;0.27;0.43;7.8;0.056;48.0;244.0;9.0;6;70
6.5;0.36;0.38;10.2;0.028;20.0;82.0;12.1;7;3071
6.3;0.28;0.47;11.2;0.04;61.0;183.0;9.5;6;3091
7.6;0.38;0.2;3.4;0.046;9.0;116.0;9.4;5;1806
6.5;0.25;0.32;9.9;0.045;41.0;128.0;9.6;6;4676
5.8;0.3;0.09;6.3;0.042;36.0;138.0;9.7;5;4780
6.2;0.25;0.38;7.9;0.045;54.0;208.0;9.1;5;3058
6.9;0.19;0.33;1.6;0.039;27.0;98.0;12.3;7;1395
7.1;0.2;0.36;11.6;0.042;45.0;124.0;9.5;7;2228
8.0;0.27;0.33;1.2;0.05;41.0;103.0;12.4;6;3836
5.6;0.19;0.31;2.7;0.027;11.0;100.0;13.2;7;3785
6.8;0.39;0.34;7.4;0.02;38.0;133.0;12.0;7;3157
7.2;0.15;0.33;1.1;0.027;16.0;63.0;9.9;5;1956
6.3;0.4;0.32;10.6;0.049;38.0;209.0;9.3;6;2332
6.8;0.25;0.24;4.55;0.053;41.0;211.0;9.5;6;539
7.2;0.15;0.38;1.2;0.038;18.0;110.0;11.1;6;1813
5.2;0.155;0.33;1.6;0.028;13.0;59.0;11.9;8;2926
6.3;0.3;0.91;8.2;0.034;50.0;199.0;11.7;6;4632
6.0;0.33;0.18;3.0;0.036;5.0;85.0;11.5;4;2372
5.7;0.32;0.18;1.4;0.029;26.0;104.0;11.0;6;2068
7.9;0.34;0.44;6.5;0.027;47.0;126.0;12.5;6;3197
6.3;0.34;0.36;4.9;0.035;31.0;185.0;9.7;5;2573
6.9;0.36;0.35;8.6;0.038;37.0;125.0;12.4;8;3174
6.9;0.31;0.33;12.7;0.038;33.0;116.0;10.4;6;4725
7.8;0.32;0.33;10.4;0.031;47.0;194.0;9.6;6;2455
7.9;0.19;0.26;2.1;0.039;8.0;143.0;9.8;5;520
5.3;0.31;0.38;10.5;0.031;53.0;140.0;11.7;6;4732
6.1;0.18;0.38;2.3;0.033;28.0;111.0;12.4;6;3068
7.9;0.19;0.26;2.1;0.039;8.0;143.0;9.8;5;521
7.8;0.21;0.39;1.8;0.034;62.0;180.0;12.6;8;1333
8.0;0.28;0.42;7.1;0.045;41.0;169.0;10.6;5;1223
6.9;0.28;0.3;1.6;0.047;46.0;132.0;11.1;7;1378
8.6;0.2;0.42;1.5;0.041;35.0;125.0;11.4;7;1021
7.9;0.46;0.4;10.1;0.168;19.0;184.0;9.5;5;2349
5.9;0.655;0.0;5.6;0.033;8.0;31.0;10.5;4;3571
6.5;0.29;0.3;9.15;0.051;25.0;166.0;11.35;6;4437
6.3;0.26;0.42;7.1;0.045;62.0;209.0;9.5;6;2551
6.3;0.23;0.33;1.5;0.036;15.0;105.0;11.2;6;336
7.8;0.28;0.32;9.0;0.036;34.0;115.0;10.3;7;514
7.0;0.23;0.36;7.1;0.028;31.0;104.0;12.1;8;434
7.0;0.22;0.26;9.2;0.027;37.0;122.0;12.5;8;3689
7.4;0.16;0.3;13.7;0.056;33.0;168.0;8.7;7;4159
6.3;0.37;0.28;6.3;0.034;45.0;152.0;11.6;7;2991
7.6;0.26;0.36;1.6;0.032;6.0;106.0;10.4;4;1924
6.5;0.18;0.29;1.7;0.035;39.0;144.0;10.5;6;2362
6.3;0.34;0.19;5.8;0.041;22.0;145.0;9.9;5;912
9.6;0.23;0.4;1.5;0.044;19.0;135.0;10.9;5;1124
7.9;0.18;0.49;5.2;0.051;36.0;157.0;10.6;6;1557
6.5;0.18;0.34;1.6;0.04;43.0;148.0;11.5;8;1723
5.8;0.23;0.27;1.8;0.043;24.0;69.0;9.4;6;1719
6.7;0.47;0.34;8.9;0.043;31.0;172.0;9.2;5;480
6.2;0.25;0.47;11.6;0.048;62.0;210.0;9.5;5;1013
7.5;0.29;0.67;8.1;0.037;53.0;166.0;8.9;6;1905
6.4;0.13;0.47;1.6;0.092;40.0;158.0;9.8;6;124
6.5;0.39;0.23;5.4;0.051;25.0;149.0;10.0;5;36
5.9;0.32;0.19;14.5;0.042;37.0;115.0;10.3;5;4798
6.3;0.4;0.24;5.1;0.036;43.0;131.0;11.3;6;3828
6.3;0.3;0.29;2.1;0.048;33.0;142.0;12.9;7;3310
9.2;0.22;0.4;2.4;0.054;18.0;151.0;9.3;4;1109
6.3;0.17;0.32;4.2;0.04;37.0;117.0;11.3;6;3114
7.1;0.35;0.27;3.1;0.034;28.0;134.0;13.1;7;3529
6.8;0.27;0.28;13.3;0.076;50.0;163.0;8.6;6;1965
7.0;0.28;0.32;7.75;0.032;30.0;114.0;12.8;7;2884
6.6;0.26;0.36;1.2;0.035;43.0;126.0;11.4;6;4641
5.0;0.17;0.56;1.5;0.026;24.0;115.0;10.8;7;386
7.0;0.35;0.3;6.5;0.028;27.0;87.0;11.4;7;1676
7.3;0.34;0.39;5.2;0.04;45.0;163.0;12.4;6;1298
6.9;0.23;0.38;8.3;0.047;47.0;162.0;10.5;7;424
6.6;0.29;0.31;3.9;0.027;39.0;96.0;12.6;8;2857
6.8;0.33;0.31;7.4;0.045;34.0;143.0;12.2;6;3883
7.4;0.22;0.28;9.0;0.046;22.0;121.0;10.8;5;4294
7.3;0.22;0.37;14.3;0.063;48.0;191.0;9.0;6;355
5.6;0.295;0.26;1.1;0.035;40.0;102.0;10.6;6;4835
7.2;0.27;0.27;2.4;0.048;30.0;149.0;9.2;6;383
6.7;0.42;0.39;12.1;0.04;61.0;248.0;9.7;5;3780
8.1;0.22;0.43;1.5;0.044;28.0;129.0;11.0;6;9
5.6;0.3;0.1;6.4;0.043;34.0;142.0;9.8;5;4781
7.2;0.43;0.24;6.7;0.058;40.0;163.0;9.9;5;306
7.1;0.32;0.24;13.1;0.05;52.0;204.0;8.8;5;201
7.5;0.35;0.37;2.5;0.066;29.0;89.0;12.7;6;4231
7.3;0.22;0.49;9.4;0.034;29.0;134.0;11.0;7;1512
6.7;0.25;0.36;8.6;0.037;63.0;206.0;9.6;5;2577
6.2;0.28;0.41;5.0;0.043;50.0;188.0;10.8;6;4633
6.1;0.45;0.27;0.8;0.039;13.0;82.0;9.5;5;1166
7.6;0.2;0.34;1.8;0.041;42.0;148.0;11.1;6;2323
7.7;0.3;0.42;14.3;0.045;45.0;213.0;9.2;5;1882
7.4;0.22;0.33;2.0;0.045;31.0;101.0;11.4;5;1173
7.15;0.17;0.24;9.6;0.119;56.0;178.0;10.2;6;2644
5.7;0.24;0.47;6.3;0.069;35.0;182.0;9.75;5;4416
6.6;0.22;0.23;17.3;0.047;37.0;118.0;8.8;6;4424
5.5;0.16;0.26;1.5;0.032;35.0;100.0;12.0;6;4753
7.2;0.29;0.2;7.7;0.046;51.0;174.0;9.5;5;2252
6.0;0.45;0.42;1.1;0.051;61.0;197.0;9.0;5;1944
6.3;0.25;0.23;14.9;0.039;47.0;142.0;9.7;6;1742
6.3;0.16;0.22;1.3;0.046;18.0;66.0;10.3;6;2281
6.0;0.23;0.34;1.3;0.025;23.0;111.0;12.7;6;4541
7.6;0.21;0.35;1.2;0.041;7.0;106.0;11.3;4;2388
6.8;0.25;0.18;1.4;0.056;13.0;137.0;9.5;5;2187
7.1;0.2;0.37;1.5;0.049;28.0;129.0;10.8;5;3891
7.0;0.23;0.42;5.1;0.042;37.0;144.0;10.2;6;2381
8.8;0.33;0.36;2.1;0.034;19.0;125.0;12.7;6;2403
7.2;0.26;0.32;10.4;0.062;23.0;114.0;10.5;5;4685
6.7;0.41;0.24;5.4;0.035;33.0;115.0;12.8933333333333;7;4315
6.6;0.21;0.39;2.3;0.041;31.0;102.0;10.9;7;4631
6.3;0.22;0.57;1.4;0.208;14.0;96.0;10.0;6;1926
5.1;0.25;0.36;1.3;0.035;40.0;78.0;12.1;7;4752
6.4;0.3;0.51;5.5;0.048;62.0;172.0;9.1;6;1066
6.0;0.26;0.29;3.1;0.041;37.0;144.0;12.8;7;4011
7.4;0.105;0.34;12.2;0.05;57.0;146.0;9.0;6;647
6.0;0.17;0.29;9.7;0.044;33.0;98.0;9.2;6;3447
7.4;0.35;0.24;6.0;0.042;28.0;123.0;11.3;5;2955
6.1;0.28;0.25;6.9;0.056;44.0;201.0;9.1;6;675
6.3;0.23;0.21;5.1;0.035;29.0;142.0;10.1;7;1097
6.1;0.36;0.58;15.0;0.044;42.0;115.0;9.0;5;937
5.8;0.25;0.28;11.1;0.056;45.0;175.0;9.5;5;756
5.8;0.18;0.37;1.1;0.036;31.0;96.0;12.0;6;3316
6.4;0.28;0.29;1.6;0.052;34.0;127.0;10.5;7;454
7.4;0.35;0.31;17.95;0.062;42.0;187.0;9.1;5;1793
6.3;0.26;0.21;4.0;0.03;24.0;125.0;10.7;6;872
7.1;0.26;0.34;14.4;0.067;35.0;189.0;9.1;7;650
5.9;0.19;0.21;1.7;0.045;57.0;135.0;9.5;5;3374
6.0;0.28;0.29;19.3;0.051;36.0;174.0;9.0;5;4455
8.1;0.34;0.28;7.5;0.04;70.0;230.0;9.8;6;2427
5.6;0.19;0.46;1.1;0.032;33.0;115.0;10.4;6;2865
5.7;0.255;0.65;1.2;0.079;17.0;137.0;9.4;5;2559
6.3;0.27;0.25;5.8;0.038;52.0;155.0;9.4;6;1082
7.0;0.35;0.24;1.9;0.04;21.0;144.0;11.0;5;2130
7.4;0.31;0.26;8.6;0.048;47.0;206.0;9.1;5;4132
7.9;0.255;0.26;2.0;0.026;40.0;190.0;11.2;6;1316
7.4;0.39;0.23;7.0;0.033;29.0;126.0;10.5;5;126
7.3;0.22;0.37;15.5;0.048;70.0;203.0;9.4;5;4391
5.9;0.34;0.22;2.4;0.03;19.0;135.0;13.9;7;701
6.8;0.24;0.31;18.3;0.046;40.0;142.0;8.7;5;1893
7.0;0.25;0.45;2.3;0.045;40.0;118.0;11.9;7;3093
7.4;0.25;0.36;13.2;0.067;53.0;178.0;9.0;6;532
7.3;0.17;0.23;6.3;0.051;35.0;240.0;10.0;6;1828
6.2;0.32;0.45;2.9;0.029;37.0;94.0;12.4;6;4025
6.0;0.28;0.27;15.5;0.036;31.0;134.0;13.0;7;3493
6.2;0.66;0.48;1.2;0.029;29.0;75.0;12.8;8;20
7.4;0.38;0.27;7.5;0.041;24.0;160.0;10.0;5;744
5.7;0.28;0.36;1.8;0.041;38.0;90.0;11.9;7;4239
6.4;0.31;0.31;12.9;0.045;55.0;161.0;10.2;5;4784
7.2;0.22;0.28;7.2;0.06;41.0;132.0;11.3;6;3350
5.7;0.39;0.25;4.9;0.033;49.0;113.0;13.1;7;4651
6.5;0.18;0.33;8.0;0.051;16.0;131.0;8.7;7;944
7.1;0.26;0.31;2.2;0.044;29.0;128.0;10.9;8;1403
8.5;0.25;0.27;4.7;0.031;31.0;92.0;12.0;6;2163
5.8;0.32;0.31;2.7;0.049;25.0;153.0;12.2;7;2813
6.2;0.26;0.37;7.1;0.047;54.0;201.0;9.5;6;2482
7.8;0.445;0.56;1.0;0.04;8.0;84.0;10.8;5;1666
6.8;0.53;0.35;3.8;0.034;26.0;109.0;12.7;8;188
8.2;0.23;0.4;7.5;0.049;12.0;76.0;9.7;6;154
6.1;0.27;0.31;3.9;0.034;42.0;137.0;10.9;6;4741
6.8;0.27;0.3;13.0;0.047;69.0;160.0;9.6;6;4769
6.8;0.27;0.32;1.5;0.044;19.0;142.0;9.9;6;1717
8.2;0.17;0.32;1.5;0.05;17.0;101.0;9.5;5;2086
6.6;0.545;0.04;2.5;0.031;48.0;111.0;11.9;5;1732
6.9;0.56;0.26;10.9;0.06;55.0;193.0;9.4;5;4433
7.6;0.31;0.29;10.5;0.04;21.0;145.0;9.4;5;1277
6.0;0.21;0.24;12.1;0.05;55.0;164.0;9.4;5;102
7.2;0.35;0.25;5.6;0.032;23.0;120.0;10.3;7;2674
7.5;0.24;0.31;13.1;0.05;26.0;180.0;9.1;6;3702
7.0;0.15;0.28;14.7;0.051;29.0;149.0;9.0;7;3741
6.0;0.28;0.25;1.8;0.042;8.0;108.0;9.0;5;2950
6.7;0.27;0.31;15.7;0.036;44.0;179.0;9.6;5;135
5.7;0.22;0.2;16.0;0.044;41.0;113.0;8.9;6;4275
6.3;0.27;0.49;1.2;0.063;35.0;92.0;12.2;6;1456
6.6;0.24;0.3;13.0;0.052;18.0;143.0;9.4;6;2479
7.5;0.27;0.79;11.95;0.04;51.0;159.0;8.7;5;2466
7.1;0.26;0.29;12.4;0.044;62.0;240.0;9.2;6;95
6.7;0.61;0.21;1.65;0.117;40.0;240.0;9.3;5;4648
7.1;0.26;0.32;14.45;0.074;29.0;107.0;9.2;6;1198
6.4;0.35;0.51;7.8;0.055;53.0;177.0;9.6;5;4858
6.6;0.12;0.25;1.4;0.039;21.0;131.0;11.2;7;2667
8.2;0.18;0.28;8.5;0.035;41.0;140.0;10.1;7;1869
6.4;0.25;0.57;1.0;0.062;21.0;122.0;9.5;5;4001
6.8;0.36;0.32;1.6;0.039;10.0;124.0;9.6;5;2076
7.3;0.24;0.39;17.95;0.057;45.0;149.0;8.6;5;39
5.0;0.24;0.19;5.0;0.043;17.0;101.0;10.0;5;4744
6.1;0.28;0.3;7.75;0.031;33.0;139.0;11.0;6;4029
6.8;0.21;0.49;14.5;0.06;50.0;170.0;9.8;6;1508
6.6;0.085;0.33;1.4;0.036;17.0;109.0;9.5;6;3652
7.2;0.23;0.38;14.3;0.058;55.0;194.0;9.0;6;234
7.1;0.37;0.67;10.5;0.045;49.0;155.0;8.7;5;137
7.9;0.31;0.22;13.3;0.048;46.0;212.0;10.0;5;2350
5.8;0.33;0.2;16.05;0.047;26.0;166.0;8.9;5;1872
7.8;0.25;0.37;1.0;0.043;10.0;80.0;11.4;5;3290
6.0;0.28;0.24;17.8;0.047;42.0;111.0;8.9;6;3888
6.1;0.32;0.24;1.5;0.036;38.0;124.0;12.4;7;160
7.8;0.26;0.49;3.2;0.027;28.0;87.0;11.3;7;1620
6.6;0.28;0.3;7.8;0.049;57.0;202.0;9.5;5;1863
7.2;0.26;0.26;12.7;0.036;49.0;214.0;10.0;6;1174
8.4;0.24;0.49;7.4;0.039;46.0;108.0;11.9;7;1582
8.1;0.3;0.31;1.1;0.041;49.0;123.0;11.1;6;1733
8.2;0.37;0.27;1.7;0.028;10.0;59.0;10.4;5;1923
6.5;0.28;0.29;2.7;0.038;26.0;107.0;11.6;7;578
9.8;0.44;0.4;2.8;0.036;35.0;167.0;9.2;5;1178
7.3;0.32;0.23;13.7;0.05;49.0;197.0;8.7;5;240
6.6;0.24;0.27;15.8;0.035;46.0;188.0;9.2;5;133
8.3;0.18;0.3;1.1;0.033;20.0;57.0;11.0;6;3801
6.3;0.1;0.24;6.0;0.039;25.0;107.0;10.5;7;2370
9.2;0.23;0.35;10.7;0.037;34.0;145.0;9.7;5;2191
6.2;0.2;0.26;1.7;0.093;40.0;161.0;11.0;5;1323
6.4;0.27;0.17;8.4;0.044;60.0;198.0;9.4;5;2432
7.6;0.3;0.38;2.1;0.043;10.0;98.0;11.0;5;3127
5.5;0.29;0.3;1.1;0.022;20.0;110.0;12.8;7;4896
6.8;0.23;0.39;16.1;0.053;71.0;194.0;10.2;6;4495
6.4;0.15;0.25;7.8;0.05;13.0;68.0;9.9;6;4486
6.6;0.23;0.2;11.4;0.044;45.0;131.0;9.7;6;2977
6.8;0.18;0.3;12.8;0.062;19.0;171.0;9.0;7;2586
6.6;0.41;0.16;1.4;0.037;28.0;160.0;10.6;6;2564
5.5;0.24;0.32;8.7;0.06;19.0;102.0;10.4;5;2138
6.3;0.23;0.5;10.4;0.043;61.0;132.0;9.1;6;4746
7.3;0.19;0.27;1.6;0.027;35.0;136.0;11.0;7;2452
6.2;0.35;0.29;7.3;0.044;56.0;244.0;10.0;6;938
7.4;0.25;0.36;13.2;0.067;53.0;178.0;9.0;6;534
5.4;0.59;0.07;7.0;0.045;36.0;147.0;9.7;6;269
7.4;0.2;0.43;7.8;0.045;27.0;153.0;9.0;7;340
6.3;0.36;0.2;2.0;0.048;48.0;191.0;9.6;5;4521
6.2;0.22;0.3;12.4;0.054;108.0;152.0;9.5;6;3861
11.8;0.23;0.38;11.1;0.034;15.0;123.0;9.7;3;2050
8.0;0.2;0.4;5.2;0.055;41.0;167.0;10.6;7;1246
8.6;0.33;0.34;11.8;0.059;42.0;240.0;10.0;6;2756
6.9;0.26;0.49;1.6;0.058;39.0;166.0;9.4;4;1649
6.4;0.35;0.21;2.1;0.051;46.0;171.0;9.5;5;4374
7.0;0.2;0.49;5.9;0.038;39.0;128.0;10.8;6;1473
7.3;0.24;0.43;2.0;0.021;20.0;69.0;12.2;6;393
7.0;0.14;0.4;1.7;0.035;16.0;85.0;11.8;6;117
6.8;0.16;0.29;10.4;0.046;59.0;143.0;10.8;6;2717
6.8;0.43;0.3;3.5;0.033;27.0;135.0;12.0;6;1914
7.1;0.31;0.17;1.0;0.042;21.0;144.0;9.6;5;2683
6.3;0.17;0.23;5.7;0.048;44.0;147.0;10.0;5;4125
6.4;0.15;0.29;1.8;0.044;21.0;115.0;10.2;5;3280
7.3;0.25;0.36;13.1;0.05;35.0;200.0;8.9;7;1397
6.7;0.16;0.28;2.5;0.046;40.0;153.0;11.4;7;1751
8.1;0.26;0.37;1.9;0.072;48.0;159.0;10.9;6;1064
7.0;0.14;0.32;9.0;0.039;54.0;141.0;9.4;6;466
6.6;0.26;0.21;2.9;0.026;48.0;126.0;11.3;7;2622
7.0;0.32;0.29;4.9;0.036;41.0;150.0;12.2;6;2375
7.6;0.18;0.36;2.4;0.049;38.0;123.0;10.3;5;2075
7.4;0.49;0.24;15.1;0.03;34.0;153.0;12.0;7;1833
6.8;0.11;0.42;1.1;0.042;51.0;132.0;11.3;7;2600
7.6;0.32;0.34;18.35;0.054;44.0;197.0;9.0;5;1680
5.9;0.29;0.16;7.9;0.044;48.0;197.0;9.4;5;4404
6.4;0.29;0.2;15.6;0.04;20.0;142.0;10.6;5;2147
5.8;0.18;0.28;1.3;0.034;9.0;94.0;11.2;6;3404
6.0;0.28;0.49;6.8;0.048;61.0;222.0;9.3;5;810
7.4;0.24;0.42;14.0;0.066;48.0;198.0;8.9;6;163
6.9;0.29;0.32;5.8;0.04;16.0;112.0;11.2;5;4606
8.2;0.22;0.36;6.8;0.034;12.0;90.0;10.5;8;1406
9.0;0.29;0.34;12.1;0.03;34.0;177.0;10.6;5;2540
7.4;0.33;0.26;15.6;0.049;67.0;210.0;9.5;5;2283
6.8;0.18;0.35;5.4;0.054;53.0;143.0;11.0;7;4147
7.2;0.23;0.25;18.8;0.085;19.0;111.0;8.7;5;3678
6.0;0.24;0.27;1.9;0.048;40.0;170.0;10.0;7;507
5.0;0.27;0.4;1.2;0.076;42.0;124.0;10.1;6;4775
7.0;0.4;0.25;1.8;0.05;51.0;189.0;11.4;6;3377
6.1;0.32;0.37;1.8;0.051;13.0;200.0;10.5;4;1781
5.8;0.315;0.19;19.4;0.031;28.0;106.0;10.55;6;4778
6.7;0.27;0.3;13.9;0.029;34.0;131.0;12.0;7;1816
6.6;0.19;0.43;10.9;0.045;53.0;154.0;10.4;6;2264
6.6;0.17;0.36;1.9;0.036;38.0;110.0;11.4;6;4057
7.1;0.25;0.3;2.4;0.042;25.0;122.0;10.5;6;1864
7.5;0.38;0.56;9.7;0.055;15.0;170.0;9.9;6;4182
7.8;0.43;0.49;13.0;0.033;37.0;158.0;11.3;6;1452
7.3;0.28;0.42;14.4;0.04;49.0;173.0;9.0;7;868
6.9;0.15;0.28;4.4;0.029;14.0;107.0;10.4;8;2384
6.6;0.23;0.18;8.5;0.044;59.0;188.0;9.5;5;2405
7.4;0.3;0.49;8.2;0.055;49.0;188.0;9.7;6;1568
8.0;0.37;0.32;1.6;0.04;32.0;166.0;11.3;7;1070
7.9;0.11;0.49;4.5;0.048;27.0;133.0;10.6;6;1459
6.7;0.24;0.33;12.3;0.046;31.0;145.0;9.5;5;2100
5.7;0.18;0.22;4.2;0.042;25.0;111.0;9.4;5;581
7.1;0.64;0.49;1.8;0.05;17.0;128.0;10.6;4;1577
6.0;0.28;0.24;17.8;0.047;42.0;111.0;8.9;6;3884
7.3;0.38;0.23;6.5;0.05;18.0;102.0;11.2;4;3965
6.2;0.21;0.27;1.7;0.038;41.0;150.0;10.5;7;715
8.9;0.33;0.32;1.5;0.047;11.0;200.0;9.4;5;1205
6.4;0.23;0.35;4.6;0.039;43.0;147.0;11.0;7;3237
6.4;0.18;0.35;1.0;0.045;39.0;108.0;10.9;6;53
6.9;0.29;0.3;8.2;0.026;35.0;112.0;12.3;6;3390
6.0;0.28;0.52;6.2;0.028;37.0;104.0;11.8;7;4677
7.4;0.29;0.25;3.8;0.044;30.0;114.0;11.0;6;2181
6.7;0.3;0.29;2.8;0.025;37.0;107.0;11.3;7;2604
7.0;0.3;0.28;2.2;0.042;21.0;177.0;11.4;5;3813
7.9;0.27;0.27;1.7;0.034;25.0;122.0;11.9;6;2487
7.15;0.17;0.24;9.6;0.119;56.0;178.0;10.2;6;2649
5.0;0.455;0.18;1.9;0.036;33.0;106.0;14.0;7;3904
6.8;0.23;0.42;7.4;0.044;56.0;189.0;9.3;6;2708
7.7;0.16;0.41;1.7;0.048;60.0;173.0;11.2;7;1011
6.8;0.32;0.23;3.3;0.026;31.0;99.0;12.4;6;4573
7.5;0.19;0.49;1.6;0.047;42.0;140.0;10.7;6;1615
7.9;0.29;0.36;11.1;0.033;43.0;208.0;10.3;5;1701
6.4;0.32;0.25;5.0;0.055;28.0;138.0;12.4;8;4766
7.3;0.32;0.29;1.5;0.038;32.0;144.0;10.8;5;2592
7.2;0.46;0.65;10.4;0.05;76.0;192.0;8.7;5;549
6.9;0.4;0.17;12.9;0.033;59.0;186.0;9.4;5;3765
6.3;0.21;0.28;1.5;0.051;46.0;142.0;10.1;6;2023
7.2;0.14;0.32;1.1;0.022;48.0;116.0;10.0;6;3550
7.5;0.16;0.38;12.7;0.043;70.5;163.0;10.4;7;4072
7.2;0.19;0.31;1.4;0.046;37.0;135.0;10.2;7;1948
7.8;0.16;0.41;1.7;0.026;29.0;140.0;12.5;6;1285
7.8;0.25;0.37;1.0;0.043;10.0;80.0;11.4;5;3300
5.6;0.49;0.13;4.5;0.039;17.0;116.0;13.7;7;1394
7.4;0.41;0.66;10.8;0.051;77.0;194.0;8.7;5;580
8.1;0.22;0.28;7.7;0.043;57.0;176.0;10.0;5;1987
6.4;0.27;0.49;7.3;0.046;53.0;206.0;9.2;6;1597
7.9;0.37;0.31;2.85;0.037;5.0;24.0;11.9;6;2673
6.4;0.25;0.33;1.4;0.04;42.0;115.0;11.3;7;1362
8.7;0.23;0.32;13.4;0.044;35.0;169.0;8.8;7;842
9.4;0.28;0.3;1.6;0.045;36.0;139.0;9.3;5;2308
6.7;0.16;0.37;1.3;0.036;45.0;125.0;12.4;7;2799
7.4;0.32;0.22;11.7;0.035;44.0;150.0;10.4;5;3027
7.2;0.24;0.27;1.4;0.038;31.0;122.0;10.3;6;64
8.3;0.22;0.38;14.8;0.054;32.0;126.0;9.7;5;1065
7.2;0.34;0.34;12.6;0.048;7.0;41.0;11.7;5;519
6.9;0.26;0.27;4.2;0.031;20.0;80.0;11.5;6;3570
7.1;0.37;0.67;10.5;0.045;49.0;155.0;8.7;5;141
6.4;0.24;0.29;1.0;0.038;18.0;122.0;11.5;5;3328
6.2;0.33;0.41;16.8;0.037;58.0;173.0;9.4;6;3041
7.0;0.24;0.24;1.8;0.047;29.0;91.0;9.9;6;4251
6.8;0.28;0.6;1.1;0.132;42.0;127.0;9.1;6;315
6.9;0.33;0.28;1.3;0.051;37.0;187.0;10.3;5;109
6.1;0.17;0.42;15.1;0.033;28.0;124.0;9.5;5;3161
6.6;0.28;0.23;10.4;0.049;45.0;190.0;8.8;5;3713
5.8;0.28;0.66;9.1;0.039;26.0;159.0;10.8;5;4567
6.8;0.35;0.32;2.4;0.048;35.0;103.0;12.0;8;1358
7.1;0.26;0.32;16.2;0.044;31.0;170.0;11.2;5;2829
6.4;0.38;0.26;8.2;0.043;28.0;98.0;11.4;6;3890
7.5;0.13;0.38;1.1;0.023;42.0;104.0;11.8;6;2638
6.5;0.22;0.25;17.1;0.05;44.0;138.0;8.8;5;2111
5.5;0.19;0.27;0.9;0.04;52.0;103.0;11.2;5;3143
5.9;0.62;0.28;3.5;0.039;55.0;152.0;12.0;6;508
6.3;0.26;0.25;5.2;0.046;11.0;133.0;11.0;6;4229
8.4;0.35;0.56;13.8;0.048;55.0;190.0;9.4;6;1274
6.7;0.18;0.3;6.4;0.048;40.0;251.0;10.0;5;1337
8.1;0.24;0.38;4.3;0.044;49.0;172.0;10.8;6;1953
6.2;0.27;0.32;8.8;0.047;65.0;224.0;8.9;5;1675
7.3;0.25;0.28;1.5;0.043;19.0;113.0;10.1;6;3294
6.5;0.27;0.19;6.6;0.045;98.0;175.0;10.1;6;3862
6.7;0.48;0.32;1.4;0.021;22.0;121.0;12.7;7;2867
6.9;0.31;0.34;7.4;0.059;36.0;174.0;11.1;7;1265
5.8;0.27;0.27;12.3;0.045;55.0;170.0;9.3;6;337
7.3;0.33;0.4;6.85;0.038;32.0;138.0;11.9;7;353
6.1;0.27;0.25;1.8;0.041;9.0;109.0;9.0;5;2952
7.5;0.26;0.31;1.6;0.032;36.0;109.0;11.9;6;3842
6.9;0.2;0.34;1.9;0.043;25.0;136.0;10.1;4;690
7.2;0.35;0.34;12.4;0.051;6.0;37.0;11.5;6;566
6.3;0.29;0.4;6.5;0.039;43.0;167.0;9.3;6;1357
6.4;0.3;0.38;7.8;0.046;35.0;192.0;9.0;5;1202
7.5;0.26;0.59;11.8;0.046;58.0;164.0;8.9;4;2318
8.2;0.38;0.49;13.6;0.042;58.0;166.0;9.4;5;856
6.6;0.56;0.22;8.9;0.034;27.0;133.0;9.1;5;819
6.8;0.21;0.55;14.6;0.053;34.0;159.0;9.2;5;2307
6.4;0.24;0.22;1.5;0.038;38.0;157.0;9.9;6;1706
6.8;0.14;0.18;1.4;0.047;30.0;90.0;11.2;6;3607
8.0;0.24;0.26;1.7;0.033;36.0;136.0;10.4;7;2626
6.8;0.17;0.34;2.0;0.04;38.0;111.0;12.9;6;3466
7.4;0.35;0.2;13.9;0.054;63.0;229.0;8.9;6;2433
